2020-12-18 11:07:27 Copy file: /components/com_jshopping/addons/jshopping_plus_minus_count_product/uninstall.php
2020-12-18 11:07:27 Copy file: /plugins/jshoppingcheckout/plus_minus_count_product/plus_minus_count_product.php
2020-12-18 11:07:27 Copy file: /plugins/jshoppingcheckout/plus_minus_count_product/plus_minus_count_product.xml
2020-12-18 11:07:27 Copy file: /plugins/jshoppingproducts/plus_minus_count_product/plus_minus_count_product.php
2020-12-18 11:07:27 Copy file: /plugins/jshoppingproducts/plus_minus_count_product/plus_minus_count_product.xml
2021-08-24 17:06:35 
Start install: /home/e/ellipsweru/shop_ellips-web_ru/public_html/tmp/product_quantity_select_buttons_pay.zip IP:85.249.19.244 UID:250
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/helper_count.php
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/helper_count_cart.php
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/helper_count_list.php
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/index.html
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/product_quantity_select_buttons.php
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/product_quantity_select_buttons.xml
2021-08-24 17:06:35 Copy file: /plugins/jshoppingproducts/product_quantity_select_buttons/style.css
